year,category1,category2,category1_index,category2_index,exchange
1985 to 1986,Agriculture,Beach and Dune,0,1,0.0
1985 to 1986,Agriculture,Forest Plantation,0,2,0.0
1985 to 1986,Agriculture,Grassland,0,3,0.0
1985 to 1986,Agriculture,Mining,0,4,0.0
1985 to 1986,Agriculture,Mosaic of Agriculture and Pasture,0,5,0.0
1985 to 1986,Agriculture,Natural Forest,0,6,0.0
1985 to 1986,Agriculture,Non Observed,0,7,0.0
1985 to 1986,Agriculture,Other Non Vegetated Area,0,8,0.0
1985 to 1986,Agriculture,Pasture,0,9,1.0
1985 to 1986,Agriculture,"River, Lake and Ocean",0,10,0.0
1985 to 1986,Agriculture,Salt flat,0,11,0.0
1985 to 1986,Agriculture,Urban Infrastructure,0,12,0.0
1985 to 1986,Agriculture,Wetland,0,13,0.0
1985 to 1986,Beach and Dune,Forest Plantation,1,2,0.0
1985 to 1986,Beach and Dune,Grassland,1,3,0.0
1985 to 1986,Beach and Dune,Mining,1,4,0.0
1985 to 1986,Beach and Dune,Mosaic of Agriculture and Pasture,1,5,0.0
1985 to 1986,Beach and Dune,Natural Forest,1,6,0.0
1985 to 1986,Beach and Dune,Non Observed,1,7,1.0
1985 to 1986,Beach and Dune,Other Non Vegetated Area,1,8,0.0
1985 to 1986,Beach and Dune,Pasture,1,9,0.0
1985 to 1986,Beach and Dune,"River, Lake and Ocean",1,10,0.0
1985 to 1986,Beach and Dune,Salt flat,1,11,0.0
1985 to 1986,Beach and Dune,Urban Infrastructure,1,12,0.0
1985 to 1986,Beach and Dune,Wetland,1,13,0.0
1985 to 1986,Forest Plantation,Grassland,2,3,4.0
1985 to 1986,Forest Plantation,Mining,2,4,0.0
1985 to 1986,Forest Plantation,Mosaic of Agriculture and Pasture,2,5,0.0
1985 to 1986,Forest Plantation,Natural Forest,2,6,0.0
1985 to 1986,Forest Plantation,Non Observed,2,7,0.0
1985 to 1986,Forest Plantation,Other Non Vegetated Area,2,8,0.0
1985 to 1986,Forest Plantation,Pasture,2,9,0.0
1985 to 1986,Forest Plantation,"River, Lake and Ocean",2,10,0.0
1985 to 1986,Forest Plantation,Salt flat,2,11,0.0
1985 to 1986,Forest Plantation,Urban Infrastructure,2,12,0.0
1985 to 1986,Forest Plantation,Wetland,2,13,0.0
1985 to 1986,Grassland,Mining,3,4,1.0
1985 to 1986,Grassland,Mosaic of Agriculture and Pasture,3,5,0.0
1985 to 1986,Grassland,Natural Forest,3,6,0.0
1985 to 1986,Grassland,Non Observed,3,7,12.0
1985 to 1986,Grassland,Other Non Vegetated Area,3,8,0.0
1985 to 1986,Grassland,Pasture,3,9,0.0
1985 to 1986,Grassland,"River, Lake and Ocean",3,10,18461.0
1985 to 1986,Grassland,Salt flat,3,11,227.0
1985 to 1986,Grassland,Urban Infrastructure,3,12,0.0
1985 to 1986,Grassland,Wetland,3,13,0.0
1985 to 1986,Mining,Mosaic of Agriculture and Pasture,4,5,0.0
1985 to 1986,Mining,Natural Forest,4,6,0.0
1985 to 1986,Mining,Non Observed,4,7,0.0
1985 to 1986,Mining,Other Non Vegetated Area,4,8,0.0
1985 to 1986,Mining,Pasture,4,9,0.0
1985 to 1986,Mining,"River, Lake and Ocean",4,10,0.0
1985 to 1986,Mining,Salt flat,4,11,0.0
1985 to 1986,Mining,Urban Infrastructure,4,12,0.0
1985 to 1986,Mining,Wetland,4,13,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Natural Forest,5,6,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Non Observed,5,7,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Other Non Vegetated Area,5,8,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Pasture,5,9,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,"River, Lake and Ocean",5,10,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Salt flat,5,11,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Urban Infrastructure,5,12,0.0
1985 to 1986,Mosaic of Agriculture and Pasture,Wetland,5,13,0.0
1985 to 1986,Natural Forest,Non Observed,6,7,45.0
1985 to 1986,Natural Forest,Other Non Vegetated Area,6,8,8.0
1985 to 1986,Natural Forest,Pasture,6,9,8.0
1985 to 1986,Natural Forest,"River, Lake and Ocean",6,10,54412.0
1985 to 1986,Natural Forest,Salt flat,6,11,5.0
1985 to 1986,Natural Forest,Urban Infrastructure,6,12,0.0
1985 to 1986,Natural Forest,Wetland,6,13,0.0
1985 to 1986,Non Observed,Other Non Vegetated Area,7,8,0.0
1985 to 1986,Non Observed,Pasture,7,9,0.0
1985 to 1986,Non Observed,"River, Lake and Ocean",7,10,5.0
1985 to 1986,Non Observed,Salt flat,7,11,1.0
1985 to 1986,Non Observed,Urban Infrastructure,7,12,0.0
1985 to 1986,Non Observed,Wetland,7,13,0.0
1985 to 1986,Other Non Vegetated Area,Pasture,8,9,2.0
1985 to 1986,Other Non Vegetated Area,"River, Lake and Ocean",8,10,0.0
1985 to 1986,Other Non Vegetated Area,Salt flat,8,11,0.0
1985 to 1986,Other Non Vegetated Area,Urban Infrastructure,8,12,0.0
1985 to 1986,Other Non Vegetated Area,Wetland,8,13,0.0
1985 to 1986,Pasture,"River, Lake and Ocean",9,10,6083.0
1985 to 1986,Pasture,Salt flat,9,11,1.0
1985 to 1986,Pasture,Urban Infrastructure,9,12,0.0
1985 to 1986,Pasture,Wetland,9,13,0.0
1985 to 1986,"River, Lake and Ocean",Salt flat,10,11,14.0
1985 to 1986,"River, Lake and Ocean",Urban Infrastructure,10,12,0.0
1985 to 1986,"River, Lake and Ocean",Wetland,10,13,0.0
1985 to 1986,Salt flat,Urban Infrastructure,11,12,0.0
1985 to 1986,Salt flat,Wetland,11,13,0.0
1985 to 1986,Urban Infrastructure,Wetland,12,13,0.0
1986 to 1987,Agriculture,Beach and Dune,0,1,0.0
1986 to 1987,Agriculture,Forest Plantation,0,2,0.0
1986 to 1987,Agriculture,Grassland,0,3,0.0
1986 to 1987,Agriculture,Mining,0,4,0.0
1986 to 1987,Agriculture,Mosaic of Agriculture and Pasture,0,5,0.0
1986 to 1987,Agriculture,Natural Forest,0,6,15.0
1986 to 1987,Agriculture,Non Observed,0,7,0.0
1986 to 1987,Agriculture,Other Non Vegetated Area,0,8,0.0
1986 to 1987,Agriculture,Pasture,0,9,1.0
1986 to 1987,Agriculture,"River, Lake and Ocean",0,10,0.0
1986 to 1987,Agriculture,Salt flat,0,11,0.0
1986 to 1987,Agriculture,Urban Infrastructure,0,12,0.0
1986 to 1987,Agriculture,Wetland,0,13,0.0
1986 to 1987,Beach and Dune,Forest Plantation,1,2,0.0
1986 to 1987,Beach and Dune,Grassland,1,3,0.0
1986 to 1987,Beach and Dune,Mining,1,4,0.0
1986 to 1987,Beach and Dune,Mosaic of Agriculture and Pasture,1,5,0.0
1986 to 1987,Beach and Dune,Natural Forest,1,6,0.0
1986 to 1987,Beach and Dune,Non Observed,1,7,0.0
1986 to 1987,Beach and Dune,Other Non Vegetated Area,1,8,0.0
1986 to 1987,Beach and Dune,Pasture,1,9,0.0
1986 to 1987,Beach and Dune,"River, Lake and Ocean",1,10,0.0
1986 to 1987,Beach and Dune,Salt flat,1,11,0.0
1986 to 1987,Beach and Dune,Urban Infrastructure,1,12,0.0
1986 to 1987,Beach and Dune,Wetland,1,13,0.0
1986 to 1987,Forest Plantation,Grassland,2,3,2.0
1986 to 1987,Forest Plantation,Mining,2,4,0.0
1986 to 1987,Forest Plantation,Mosaic of Agriculture and Pasture,2,5,0.0
1986 to 1987,Forest Plantation,Natural Forest,2,6,0.0
1986 to 1987,Forest Plantation,Non Observed,2,7,0.0
1986 to 1987,Forest Plantation,Other Non Vegetated Area,2,8,0.0
1986 to 1987,Forest Plantation,Pasture,2,9,0.0
1986 to 1987,Forest Plantation,"River, Lake and Ocean",2,10,0.0
1986 to 1987,Forest Plantation,Salt flat,2,11,0.0
1986 to 1987,Forest Plantation,Urban Infrastructure,2,12,0.0
1986 to 1987,Forest Plantation,Wetland,2,13,0.0
1986 to 1987,Grassland,Mining,3,4,0.0
1986 to 1987,Grassland,Mosaic of Agriculture and Pasture,3,5,0.0
1986 to 1987,Grassland,Natural Forest,3,6,0.0
1986 to 1987,Grassland,Non Observed,3,7,10.0
1986 to 1987,Grassland,Other Non Vegetated Area,3,8,0.0
1986 to 1987,Grassland,Pasture,3,9,0.0
1986 to 1987,Grassland,"River, Lake and Ocean",3,10,44694.0
1986 to 1987,Grassland,Salt flat,3,11,23.0
1986 to 1987,Grassland,Urban Infrastructure,3,12,0.0
1986 to 1987,Grassland,Wetland,3,13,0.0
1986 to 1987,Mining,Mosaic of Agriculture and Pasture,4,5,0.0
1986 to 1987,Mining,Natural Forest,4,6,0.0
1986 to 1987,Mining,Non Observed,4,7,0.0
1986 to 1987,Mining,Other Non Vegetated Area,4,8,0.0
1986 to 1987,Mining,Pasture,4,9,0.0
1986 to 1987,Mining,"River, Lake and Ocean",4,10,0.0
1986 to 1987,Mining,Salt flat,4,11,0.0
1986 to 1987,Mining,Urban Infrastructure,4,12,0.0
1986 to 1987,Mining,Wetland,4,13,0.0
1986 to 1987,Mosaic of Agriculture and Pasture,Natural Forest,5,6,0.0
1986 to 1987,Mosaic of Agriculture and Pasture,Non Observed,5,7,0.0
1986 to 1987,Mosaic of Agriculture and Pasture,Other Non Vegetated Area,5,8,0.0
1986 to 1987,Mosaic of Agriculture and Pasture,Pasture,5,9,0.0
1986 to 1987,Mosaic of Agriculture and Pasture,"River, Lake and Ocean",5,10,0.0
1986 to 1987,Mosaic of Agriculture and Pasture,Salt flat,5,11,0.0
1986 to 1987,Mosaic of Agriculture and Pasture,Urban Infrastructure,5,12,0.0
1986 to 1987,Mosaic of Agriculture and Pasture,Wetland,5,13,0.0
1986 to 1987,Natural Forest,Non Observed,6,7,43.0
1986 to 1987,Natural Forest,Other Non Vegetated Area,6,8,0.0
1986 to 1987,Natural Forest,Pasture,6,9,0.0
1986 to 1987,Natural Forest,"River, Lake and Ocean",6,10,61607.0
1986 to 1987,Natural Forest,Salt flat,6,11,1.0
1986 to 1987,Natural Forest,Urban Infrastructure,6,12,0.0
1986 to 1987,Natural Forest,Wetland,6,13,0.0
1986 to 1987,Non Observed,Other Non Vegetated Area,7,8,0.0
1986 to 1987,Non Observed,Pasture,7,9,0.0
1986 to 1987,Non Observed,"River, Lake and Ocean",7,10,5.0
1986 to 1987,Non Observed,Salt flat,7,11,0.0
1986 to 1987,Non Observed,Urban Infrastructure,7,12,0.0
1986 to 1987,Non Observed,Wetland,7,13,0.0
1986 to 1987,Other Non Vegetated Area,Pasture,8,9,0.0
1986 to 1987,Other Non Vegetated Area,"River, Lake and Ocean",8,10,0.0
1986 to 1987,Other Non Vegetated Area,Salt flat,8,11,0.0
1986 to 1987,Other Non Vegetated Area,Urban Infrastructure,8,12,0.0
1986 to 1987,Other Non Vegetated Area,Wetland,8,13,0.0
1986 to 1987,Pasture,"River, Lake and Ocean",9,10,6782.0
1986 to 1987,Pasture,Salt flat,9,11,0.0
1986 to 1987,Pasture,Urban Infrastructure,9,12,0.0
1986 to 1987,Pasture,Wetland,9,13,0.0
1986 to 1987,"River, Lake and Ocean",Salt flat,10,11,3.0
1986 to 1987,"River, Lake and Ocean",Urban Infrastructure,10,12,0.0
1986 to 1987,"River, Lake and Ocean",Wetland,10,13,0.0
1986 to 1987,Salt flat,Urban Infrastructure,11,12,0.0
1986 to 1987,Salt flat,Wetland,11,13,0.0
1986 to 1987,Urban Infrastructure,Wetland,12,13,0.0
1987 to 1988,Agriculture,Beach and Dune,0,1,0.0
1987 to 1988,Agriculture,Forest Plantation,0,2,0.0
1987 to 1988,Agriculture,Grassland,0,3,0.0
1987 to 1988,Agriculture,Mining,0,4,0.0
1987 to 1988,Agriculture,Mosaic of Agriculture and Pasture,0,5,0.0
1987 to 1988,Agriculture,Natural Forest,0,6,0.0
1987 to 1988,Agriculture,Non Observed,0,7,0.0
1987 to 1988,Agriculture,Other Non Vegetated Area,0,8,0.0
1987 to 1988,Agriculture,Pasture,0,9,71.0
1987 to 1988,Agriculture,"River, Lake and Ocean",0,10,0.0
1987 to 1988,Agriculture,Salt flat,0,11,0.0
1987 to 1988,Agriculture,Urban Infrastructure,0,12,0.0
1987 to 1988,Agriculture,Wetland,0,13,0.0
1987 to 1988,Beach and Dune,Forest Plantation,1,2,0.0
1987 to 1988,Beach and Dune,Grassland,1,3,0.0
1987 to 1988,Beach and Dune,Mining,1,4,0.0
1987 to 1988,Beach and Dune,Mosaic of Agriculture and Pasture,1,5,0.0
1987 to 1988,Beach and Dune,Natural Forest,1,6,0.0
1987 to 1988,Beach and Dune,Non Observed,1,7,0.0
1987 to 1988,Beach and Dune,Other Non Vegetated Area,1,8,0.0
1987 to 1988,Beach and Dune,Pasture,1,9,0.0
1987 to 1988,Beach and Dune,"River, Lake and Ocean",1,10,0.0
1987 to 1988,Beach and Dune,Salt flat,1,11,0.0
1987 to 1988,Beach and Dune,Urban Infrastructure,1,12,0.0
1987 to 1988,Beach and Dune,Wetland,1,13,0.0
1987 to 1988,Forest Plantation,Grassland,2,3,10.0
1987 to 1988,Forest Plantation,Mining,2,4,0.0
1987 to 1988,Forest Plantation,Mosaic of Agriculture and Pasture,2,5,0.0
1987 to 1988,Forest Plantation,Natural Forest,2,6,0.0
1987 to 1988,Forest Plantation,Non Observed,2,7,0.0
1987 to 1988,Forest Plantation,Other Non Vegetated Area,2,8,0.0
1987 to 1988,Forest Plantation,Pasture,2,9,0.0
1987 to 1988,Forest Plantation,"River, Lake and Ocean",2,10,0.0
1987 to 1988,Forest Plantation,Salt flat,2,11,0.0
1987 to 1988,Forest Plantation,Urban Infrastructure,2,12,0.0
1987 to 1988,Forest Plantation,Wetland,2,13,0.0
1987 to 1988,Grassland,Mining,3,4,2.0
1987 to 1988,Grassland,Mosaic of Agriculture and Pasture,3,5,0.0
1987 to 1988,Grassland,Natural Forest,3,6,0.0
1987 to 1988,Grassland,Non Observed,3,7,20.0
1987 to 1988,Grassland,Other Non Vegetated Area,3,8,3.0
1987 to 1988,Grassland,Pasture,3,9,3.0
1987 to 1988,Grassland,"River, Lake and Ocean",3,10,62056.0
1987 to 1988,Grassland,Salt flat,3,11,64.0
1987 to 1988,Grassland,Urban Infrastructure,3,12,1.0
1987 to 1988,Grassland,Wetland,3,13,0.0
1987 to 1988,Mining,Mosaic of Agriculture and Pasture,4,5,0.0
1987 to 1988,Mining,Natural Forest,4,6,0.0
1987 to 1988,Mining,Non Observed,4,7,0.0
1987 to 1988,Mining,Other Non Vegetated Area,4,8,0.0
1987 to 1988,Mining,Pasture,4,9,0.0
1987 to 1988,Mining,"River, Lake and Ocean",4,10,0.0
1987 to 1988,Mining,Salt flat,4,11,0.0
1987 to 1988,Mining,Urban Infrastructure,4,12,0.0
1987 to 1988,Mining,Wetland,4,13,0.0
1987 to 1988,Mosaic of Agriculture and Pasture,Natural Forest,5,6,0.0
1987 to 1988,Mosaic of Agriculture and Pasture,Non Observed,5,7,0.0
1987 to 1988,Mosaic of Agriculture and Pasture,Other Non Vegetated Area,5,8,0.0
1987 to 1988,Mosaic of Agriculture and Pasture,Pasture,5,9,0.0
1987 to 1988,Mosaic of Agriculture and Pasture,"River, Lake and Ocean",5,10,0.0
1987 to 1988,Mosaic of Agriculture and Pasture,Salt flat,5,11,0.0
1987 to 1988,Mosaic of Agriculture and Pasture,Urban Infrastructure,5,12,0.0
1987 to 1988,Mosaic of Agriculture and Pasture,Wetland,5,13,0.0
1987 to 1988,Natural Forest,Non Observed,6,7,56.0
1987 to 1988,Natural Forest,Other Non Vegetated Area,6,8,56.0
1987 to 1988,Natural Forest,Pasture,6,9,129.0
1987 to 1988,Natural Forest,"River, Lake and Ocean",6,10,166852.0
1987 to 1988,Natural Forest,Salt flat,6,11,12.0
1987 to 1988,Natural Forest,Urban Infrastructure,6,12,0.0
1987 to 1988,Natural Forest,Wetland,6,13,0.0
1987 to 1988,Non Observed,Other Non Vegetated Area,7,8,0.0
1987 to 1988,Non Observed,Pasture,7,9,0.0
1987 to 1988,Non Observed,"River, Lake and Ocean",7,10,6.0
1987 to 1988,Non Observed,Salt flat,7,11,0.0
1987 to 1988,Non Observed,Urban Infrastructure,7,12,0.0
1987 to 1988,Non Observed,Wetland,7,13,0.0
1987 to 1988,Other Non Vegetated Area,Pasture,8,9,76.0
1987 to 1988,Other Non Vegetated Area,"River, Lake and Ocean",8,10,76.0
1987 to 1988,Other Non Vegetated Area,Salt flat,8,11,0.0
1987 to 1988,Other Non Vegetated Area,Urban Infrastructure,8,12,0.0
1987 to 1988,Other Non Vegetated Area,Wetland,8,13,0.0
1987 to 1988,Pasture,"River, Lake and Ocean",9,10,14710.0
1987 to 1988,Pasture,Salt flat,9,11,0.0
1987 to 1988,Pasture,Urban Infrastructure,9,12,0.0
1987 to 1988,Pasture,Wetland,9,13,0.0
1987 to 1988,"River, Lake and Ocean",Salt flat,10,11,16.0
1987 to 1988,"River, Lake and Ocean",Urban Infrastructure,10,12,0.0
1987 to 1988,"River, Lake and Ocean",Wetland,10,13,0.0
1987 to 1988,Salt flat,Urban Infrastructure,11,12,0.0
1987 to 1988,Salt flat,Wetland,11,13,0.0
1987 to 1988,Urban Infrastructure,Wetland,12,13,0.0
1988 to 1989,Agriculture,Beach and Dune,0,1,0.0
1988 to 1989,Agriculture,Forest Plantation,0,2,0.0
1988 to 1989,Agriculture,Grassland,0,3,125.0
1988 to 1989,Agriculture,Mining,0,4,0.0
1988 to 1989,Agriculture,Mosaic of Agriculture and Pasture,0,5,0.0
1988 to 1989,Agriculture,Natural Forest,0,6,275.0
1988 to 1989,Agriculture,Non Observed,0,7,0.0
1988 to 1989,Agriculture,Other Non Vegetated Area,0,8,0.0
1988 to 1989,Agriculture,Pasture,0,9,3732.0
1988 to 1989,Agriculture,"River, Lake and Ocean",0,10,0.0
1988 to 1989,Agriculture,Salt flat,0,11,0.0
1988 to 1989,Agriculture,Urban Infrastructure,0,12,0.0
1988 to 1989,Agriculture,Wetland,0,13,0.0
1988 to 1989,Beach and Dune,Forest Plantation,1,2,0.0
1988 to 1989,Beach and Dune,Grassland,1,3,0.0
1988 to 1989,Beach and Dune,Mining,1,4,0.0
1988 to 1989,Beach and Dune,Mosaic of Agriculture and Pasture,1,5,0.0
1988 to 1989,Beach and Dune,Natural Forest,1,6,0.0
1988 to 1989,Beach and Dune,Non Observed,1,7,0.0
1988 to 1989,Beach and Dune,Other Non Vegetated Area,1,8,0.0
1988 to 1989,Beach and Dune,Pasture,1,9,0.0
1988 to 1989,Beach and Dune,"River, Lake and Ocean",1,10,0.0
1988 to 1989,Beach and Dune,Salt flat,1,11,6.0
1988 to 1989,Beach and Dune,Urban Infrastructure,1,12,0.0
1988 to 1989,Beach and Dune,Wetland,1,13,0.0
1988 to 1989,Forest Plantation,Grassland,2,3,2173.0
1988 to 1989,Forest Plantation,Mining,2,4,0.0
1988 to 1989,Forest Plantation,Mosaic of Agriculture and Pasture,2,5,0.0
1988 to 1989,Forest Plantation,Natural Forest,2,6,0.0
1988 to 1989,Forest Plantation,Non Observed,2,7,0.0
1988 to 1989,Forest Plantation,Other Non Vegetated Area,2,8,0.0
1988 to 1989,Forest Plantation,Pasture,2,9,0.0
1988 to 1989,Forest Plantation,"River, Lake and Ocean",2,10,0.0
1988 to 1989,Forest Plantation,Salt flat,2,11,0.0
1988 to 1989,Forest Plantation,Urban Infrastructure,2,12,0.0
1988 to 1989,Forest Plantation,Wetland,2,13,0.0
1988 to 1989,Grassland,Mining,3,4,4.0
1988 to 1989,Grassland,Mosaic of Agriculture and Pasture,3,5,0.0
1988 to 1989,Grassland,Natural Forest,3,6,0.0
1988 to 1989,Grassland,Non Observed,3,7,30.0
1988 to 1989,Grassland,Other Non Vegetated Area,3,8,26.0
1988 to 1989,Grassland,Pasture,3,9,26.0
1988 to 1989,Grassland,"River, Lake and Ocean",3,10,66230.0
1988 to 1989,Grassland,Salt flat,3,11,289.0
1988 to 1989,Grassland,Urban Infrastructure,3,12,1.0
1988 to 1989,Grassland,Wetland,3,13,0.0
1988 to 1989,Mining,Mosaic of Agriculture and Pasture,4,5,0.0
1988 to 1989,Mining,Natural Forest,4,6,0.0
1988 to 1989,Mining,Non Observed,4,7,0.0
1988 to 1989,Mining,Other Non Vegetated Area,4,8,0.0
1988 to 1989,Mining,Pasture,4,9,0.0
1988 to 1989,Mining,"River, Lake and Ocean",4,10,0.0
1988 to 1989,Mining,Salt flat,4,11,0.0
1988 to 1989,Mining,Urban Infrastructure,4,12,0.0
1988 to 1989,Mining,Wetland,4,13,0.0
1988 to 1989,Mosaic of Agriculture and Pasture,Natural Forest,5,6,0.0
1988 to 1989,Mosaic of Agriculture and Pasture,Non Observed,5,7,0.0
1988 to 1989,Mosaic of Agriculture and Pasture,Other Non Vegetated Area,5,8,0.0
1988 to 1989,Mosaic of Agriculture and Pasture,Pasture,5,9,0.0
1988 to 1989,Mosaic of Agriculture and Pasture,"River, Lake and Ocean",5,10,0.0
1988 to 1989,Mosaic of Agriculture and Pasture,Salt flat,5,11,0.0
1988 to 1989,Mosaic of Agriculture and Pasture,Urban Infrastructure,5,12,0.0
1988 to 1989,Mosaic of Agriculture and Pasture,Wetland,5,13,0.0
1988 to 1989,Natural Forest,Non Observed,6,7,81.0
1988 to 1989,Natural Forest,Other Non Vegetated Area,6,8,81.0
1988 to 1989,Natural Forest,Pasture,6,9,81.0
1988 to 1989,Natural Forest,"River, Lake and Ocean",6,10,164776.0
1988 to 1989,Natural Forest,Salt flat,6,11,7.0
1988 to 1989,Natural Forest,Urban Infrastructure,6,12,1.0
1988 to 1989,Natural Forest,Wetland,6,13,0.0
1988 to 1989,Non Observed,Other Non Vegetated Area,7,8,0.0
1988 to 1989,Non Observed,Pasture,7,9,0.0
1988 to 1989,Non Observed,"River, Lake and Ocean",7,10,18.0
1988 to 1989,Non Observed,Salt flat,7,11,3.0
1988 to 1989,Non Observed,Urban Infrastructure,7,12,0.0
1988 to 1989,Non Observed,Wetland,7,13,0.0
1988 to 1989,Other Non Vegetated Area,Pasture,8,9,42.0
1988 to 1989,Other Non Vegetated Area,"River, Lake and Ocean",8,10,1.0
1988 to 1989,Other Non Vegetated Area,Salt flat,8,11,0.0
1988 to 1989,Other Non Vegetated Area,Urban Infrastructure,8,12,0.0
1988 to 1989,Other Non Vegetated Area,Wetland,8,13,0.0
1988 to 1989,Pasture,"River, Lake and Ocean",9,10,17452.0
1988 to 1989,Pasture,Salt flat,9,11,11.0
1988 to 1989,Pasture,Urban Infrastructure,9,12,1.0
1988 to 1989,Pasture,Wetland,9,13,0.0
1988 to 1989,"River, Lake and Ocean",Salt flat,10,11,32.0
1988 to 1989,"River, Lake and Ocean",Urban Infrastructure,10,12,0.0
1988 to 1989,"River, Lake and Ocean",Wetland,10,13,0.0
1988 to 1989,Salt flat,Urban Infrastructure,11,12,0.0
1988 to 1989,Salt flat,Wetland,11,13,0.0
1988 to 1989,Urban Infrastructure,Wetland,12,13,0.0
1989 to 1990,Agriculture,Beach and Dune,0,1,0.0
1989 to 1990,Agriculture,Forest Plantation,0,2,0.0
1989 to 1990,Agriculture,Grassland,0,3,331.0
1989 to 1990,Agriculture,Mining,0,4,0.0
1989 to 1990,Agriculture,Mosaic of Agriculture and Pasture,0,5,0.0
1989 to 1990,Agriculture,Natural Forest,0,6,321.0
1989 to 1990,Agriculture,Non Observed,0,7,0.0
1989 to 1990,Agriculture,Other Non Vegetated Area,0,8,0.0
1989 to 1990,Agriculture,Pasture,0,9,4914.0
1989 to 1990,Agriculture,"River, Lake and Ocean",0,10,2.0
1989 to 1990,Agriculture,Salt flat,0,11,0.0
1989 to 1990,Agriculture,Urban Infrastructure,0,12,0.0
1989 to 1990,Agriculture,Wetland,0,13,0.0
1989 to 1990,Beach and Dune,Forest Plantation,1,2,0.0
1989 to 1990,Beach and Dune,Grassland,1,3,0.0
1989 to 1990,Beach and Dune,Mining,1,4,0.0
1989 to 1990,Beach and Dune,Mosaic of Agriculture and Pasture,1,5,0.0
1989 to 1990,Beach and Dune,Natural Forest,1,6,0.0
1989 to 1990,Beach and Dune,Non Observed,1,7,0.0
1989 to 1990,Beach and Dune,Other Non Vegetated Area,1,8,0.0
1989 to 1990,Beach and Dune,Pasture,1,9,0.0
1989 to 1990,Beach and Dune,"River, Lake and Ocean",1,10,1.0
1989 to 1990,Beach and Dune,Salt flat,1,11,1.0
1989 to 1990,Beach and Dune,Urban Infrastructure,1,12,0.0
1989 to 1990,Beach and Dune,Wetland,1,13,0.0
1989 to 1990,Forest Plantation,Grassland,2,3,354.0
1989 to 1990,Forest Plantation,Mining,2,4,0.0
1989 to 1990,Forest Plantation,Mosaic of Agriculture and Pasture,2,5,0.0
1989 to 1990,Forest Plantation,Natural Forest,2,6,0.0
1989 to 1990,Forest Plantation,Non Observed,2,7,0.0
1989 to 1990,Forest Plantation,Other Non Vegetated Area,2,8,0.0
1989 to 1990,Forest Plantation,Pasture,2,9,0.0
1989 to 1990,Forest Plantation,"River, Lake and Ocean",2,10,0.0
1989 to 1990,Forest Plantation,Salt flat,2,11,0.0
1989 to 1990,Forest Plantation,Urban Infrastructure,2,12,0.0
1989 to 1990,Forest Plantation,Wetland,2,13,0.0
1989 to 1990,Grassland,Mining,3,4,1.0
1989 to 1990,Grassland,Mosaic of Agriculture and Pasture,3,5,0.0
1989 to 1990,Grassland,Natural Forest,3,6,0.0
1989 to 1990,Grassland,Non Observed,3,7,18.0
1989 to 1990,Grassland,Other Non Vegetated Area,3,8,18.0
1989 to 1990,Grassland,Pasture,3,9,69.0
1989 to 1990,Grassland,"River, Lake and Ocean",3,10,47884.0
1989 to 1990,Grassland,Salt flat,3,11,456.0
1989 to 1990,Grassland,Urban Infrastructure,3,12,2.0
1989 to 1990,Grassland,Wetland,3,13,0.0
1989 to 1990,Mining,Mosaic of Agriculture and Pasture,4,5,0.0
1989 to 1990,Mining,Natural Forest,4,6,0.0
1989 to 1990,Mining,Non Observed,4,7,0.0
1989 to 1990,Mining,Other Non Vegetated Area,4,8,0.0
1989 to 1990,Mining,Pasture,4,9,0.0
1989 to 1990,Mining,"River, Lake and Ocean",4,10,0.0
1989 to 1990,Mining,Salt flat,4,11,0.0
1989 to 1990,Mining,Urban Infrastructure,4,12,0.0
1989 to 1990,Mining,Wetland,4,13,0.0
1989 to 1990,Mosaic of Agriculture and Pasture,Natural Forest,5,6,0.0
1989 to 1990,Mosaic of Agriculture and Pasture,Non Observed,5,7,0.0
1989 to 1990,Mosaic of Agriculture and Pasture,Other Non Vegetated Area,5,8,0.0
1989 to 1990,Mosaic of Agriculture and Pasture,Pasture,5,9,0.0
1989 to 1990,Mosaic of Agriculture and Pasture,"River, Lake and Ocean",5,10,0.0
1989 to 1990,Mosaic of Agriculture and Pasture,Salt flat,5,11,0.0
1989 to 1990,Mosaic of Agriculture and Pasture,Urban Infrastructure,5,12,0.0
1989 to 1990,Mosaic of Agriculture and Pasture,Wetland,5,13,0.0
1989 to 1990,Natural Forest,Non Observed,6,7,71.0
1989 to 1990,Natural Forest,Other Non Vegetated Area,6,8,71.0
1989 to 1990,Natural Forest,Pasture,6,9,299.0
1989 to 1990,Natural Forest,"River, Lake and Ocean",6,10,145222.0
1989 to 1990,Natural Forest,Salt flat,6,11,7.0
1989 to 1990,Natural Forest,Urban Infrastructure,6,12,1.0
1989 to 1990,Natural Forest,Wetland,6,13,0.0
1989 to 1990,Non Observed,Other Non Vegetated Area,7,8,0.0
1989 to 1990,Non Observed,Pasture,7,9,0.0
1989 to 1990,Non Observed,"River, Lake and Ocean",7,10,8.0
1989 to 1990,Non Observed,Salt flat,7,11,1.0
